#NAME,SAMPLE,TRANSFER,COMMUNITY
bc01,1-F1,t01,full 
bc02,1-M1,t01,med
bc03,1-L1,t01,low
bc04,1-S1,t01,synt
bc05,5-F1,t05,full 
bc06,5-M1,t05,med
bc07,5-L1,t05,low
bc08,5-S1,t05,synt
bc09,17-F1,t17,full 
bc10,17-M1,t17,med
bc11,17-L1,t17,low
bc12,17-S1,t17,synt
bc13,1-F2,t01,full 
bc14,1-M2,t01,med
bc15,1-L2,t01,low
bc16,1-S2,t01,synt
bc17,5-F2,t05,full 
bc18,5-M2,t05,med
bc19,5-L2,t05,low
bc20,5-S2,t05,synt
bc21,17-F2,t17,full 
bc22,17-M2,t17,med
bc23,17-L2,t17,low
bc24,17-S2,t17,synt
bc25,1-F3,t01,full 
bc26,1-M3,t01,med
bc27,1-L3,t01,low
bc28,1-S3,t01,synt
bc29,5-F3,t05,full 
bc30,5-M3,t05,med
bc31,5-L3,t05,low
bc32,5-S3,t05,synt
bc33,17-F3,t17,full 
bc34,17-M3,t17,med
bc35,17-L3,t17,low
bc36,17-S3,t17,synt
bc37,1-F4,t01,full 
bc38,1-M4,t01,med
bc39,1-L4,t01,low
bc40,1-S4,t01,synt
bc41,5-F4,t05,full 
bc42,5-M4,t05,med
bc43,5-L4,t05,low
bc44,5-S4,t05,synt
bc45,17-F4,t17,full 
bc46,17-M4,t17,med
bc47,17-L4,t17,low
bc48,17-S4,t17,synt
bc49,1-F5,t01,full 
bc50,1-M5,t01,med
bc51,1-L5,t01,low
bc52,1-S5,t01,synt
bc53,5-F5,t05,full 
bc54,5-M5,t05,med
bc55,5-L5,t05,low
bc56,5-S5,t05,synt
bc57,17-F5,t17,full 
bc58,17-M5,t17,med
bc59,17-L5,t17,low
bc60,17-S5,t17,synt
bc61,1-F6,t01,full 
bc62,1-M6,t01,med
bc63,1-L6,t01,low
bc64,1-S6,t01,synt
bc65,5-F6,t05,full 
bc66,5-M6,t05,med
bc67,5-L6,t05,low
bc68,5-S6,t05,synt
bc69,17-F6,t17,full 
bc70,17-M6,t17,med
bc71,17-L6,t17,low
bc72,17-S6,t17,synt
bc73,1-F7,t01,full 
bc74,1-M7,t01,med
bc75,1-L7,t01,low
bc76,1-S7,t01,synt
bc77,5-F7,t05,full 
bc78,5-M7,t05,med
bc79,5-L7,t05,low
bc80,5-S7,t05,synt
bc81,17-F7,t17,full 
bc82,17-M7,t17,med
bc83,17-L7,t17,low
bc84,17-S7,t17,synt
bc85,1-F8,t01,full 
bc86,A+,n.a.,Anneloes
bc87,1-L8,t01,low
bc88,1-S8,t01,synt
bc89,5-F8,t05,full 
bc90,neg-,n.a.,neg_control
bc91,5-L8,t05,low
bc92,5-S8,t05,synt
bc93,17-F8,t17,full 
bc94,Zymo,n.a.,Zymo
bc95,17-L8,t17,low
bc96,17-S8,t17,synt